,open,high,low,close,adjcp,pct_return,adjcp_filtered,pct_return_filtered
30889,182.6003875732422,183.9866180419922,181.5296325683593,183.852767944336,133.8160858154297,0.0036010420328704,133.14469753231523,-0.0034571279619712
30890,183.6042022705078,184.034423828125,180.6596527099609,180.6978912353516,131.51983642578125,-0.0171597411152468,132.5610531939566,-0.0038048825228154
30891,180.6214141845703,181.95985412597656,180.31549072265625,181.70172119140625,132.25045776367188,0.0055552178115954,132.05850361027788,-0.0037530740440797
30892,180.21987915039065,181.6061248779297,179.84703063964844,181.30018615722656,131.95826721191406,-0.0022093727061417,131.61882824001444,-0.0033228161671387
30893,181.30018615722656,182.4569854736328,180.8317413330078,181.4818420410156,132.09042358398438,0.0010015012690192,131.23358879834518,-0.0025967435121599
30894,181.55831909179688,182.0267639160156,178.57553100585938,178.93881225585938,130.23948669433594,-0.0140126501182092,130.94714190768946,-0.0017117191248137
30895,179.4072723388672,179.52198791503906,178.04971313476562,178.69024658203125,130.05859375,-0.0013889255012228,130.81647113600783,-0.0008455156692301
30896,179.8374786376953,181.0420684814453,179.31166076660156,180.3728485107422,131.28321838378906,0.0094159455248534,130.825531821761,-0.0001970111071309
30923,156.50096130371094,156.69215393066406,155.44932556152344,156.11854553222656,114.40763092041016,-0.001162053123932,114.1483358124872,-0.000136555569247
30924,155.14340209960938,155.8317413330078,154.64627075195312,154.7992401123047,113.44078826904295,-0.0084508580729182,114.3977719825172,-0.0006063935911076
30925,154.87571716308594,155.64053344726562,154.68450927734375,155.6309814453125,114.05029296875,0.0053728884381647,114.5254792340249,-0.0010562523290287
30926,154.9713134765625,157.25621032714844,154.579345703125,156.9407196044922,115.01011657714844,0.0084157925719789,114.47190013814776,-0.0014384526290849
30927,156.9407196044922,157.71510314941406,156.52008056640625,156.9407196044922,115.01011657714844,0.0,114.19442450981984,-0.0016804608518682
30928,157.48565673828125,157.50477600097656,154.7705535888672,154.7705535888672,113.41979217529295,-0.0138276914169432,113.7437504220906,-0.0017033501275585
