,Unnamed: 0,date,open,high,low,close,adjcp,tic,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
12833,442,2013-10-08,51.83000183105469,51.959999084472656,50.84000015258789,50.869998931884766,40.33408737182617,JPM,0.0188716909637716,0.0214271707386393,-0.0005897145651023,-0.2071144442948828,-0.0185221467346103,0.0198543903680756,0.0162812712237827,0.0167294613997213,0.0204465590292717,0.0217010955574203,0.0163384685449567
12862,443,2013-10-09,51.16999816894531,51.34000015258789,50.25,50.75,40.23893737792969,JPM,0.0082758259890702,0.0116256187702048,-0.0098522167487684,-0.2071145344250308,-0.0023589332495455,0.0169851985079059,0.0175574845692179,0.0161525031862663,0.0207703853742313,0.0235332689443967,0.0190833121294777
12891,444,2013-10-10,51.84000015258789,52.560001373291016,51.380001068115234,52.52000045776367,41.6423454284668,JPM,-0.0129474542888214,0.0007616320483376,-0.0217060049450155,-0.2071145265515492,0.0348768563106143,-0.0150799937451282,-0.0148135662561578,-0.0178955959797456,-0.0130007847903651,-0.0103587857817274,-0.0137952472440807
12920,445,2013-10-11,52.959999084472656,53.34999847412109,52.15999984741211,52.5099983215332,41.63440704345703,JPM,0.0085698110326337,0.0159969563785611,-0.0066653682214566,-0.2071146757895882,-0.0001904443286994,-0.0155016258620642,-0.0133839737369906,-0.0175863087357368,-0.0125225600387017,-0.0099153818737224,-0.0122228574796833
12949,446,2013-10-14,51.93999862670898,52.84000015258789,51.7599983215332,52.709999084472656,41.7929916381836,JPM,-0.0146082426700422,0.0024663454823228,-0.018023160300515,-0.2071145444110811,0.0038088129752889,-0.0158983083088,-0.0144754249399998,-0.0192571557192358,-0.0163088130085102,-0.0134927401804819,-0.0143586981437444
12978,447,2013-10-15,52.90999984741211,53.040000915527344,52.18000030517578,52.310001373291016,41.475852966308594,JPM,0.0114700527312057,0.0139552575620665,-0.0024852048308607,-0.2071142825951871,-0.0075886495566165,-0.0028678391626104,-0.0055442253891095,-0.0087528586264403,-0.0091615969102646,-0.0066893633803584,-0.0058319259788892
13007,448,2013-10-16,52.61000061035156,54.04999923706055,52.58000183105469,54.0,42.815826416015625,JPM,-0.025740729437934,0.0009259117974176,-0.0262962623878761,-0.2071143256293403,0.0323073711019223,-0.0220372183958676,-0.0331298570409318,-0.0364688414045536,-0.0392631107585305,-0.0369395412223474,-0.0353966394842251
13036,449,2013-10-17,53.790000915527344,54.290000915527344,53.61000061035156,54.209999084472656,42.98231887817383,JPM,-0.0077476143891987,0.0014757762849253,-0.0110680406613943,-0.2071145618136483,0.0038888719346787,-0.0195903690569304,-0.0326876180879315,-0.0368812866888537,-0.0412821119964159,-0.0389344558008447,-0.0376074304897385
13065,450,2013-10-18,54.2599983215332,54.58000183105469,53.79999923706055,54.29999923706055,43.05367660522461,JPM,-0.0007366651213512,0.0051565855972062,-0.0092081032601331,-0.2071146001814334,0.0016602131360978,-0.014622289060604,-0.0312890103659643,-0.0354793551535467,-0.0411343418100393,-0.0389843546973873,-0.0378984139096055
13094,451,2013-10-21,54.27000045776367,54.84999847412109,53.88999938964844,54.27000045776367,43.02989196777344,JPM,0.0,0.010687267578131,-0.0070020465249668,-0.2071145825535416,-0.0005524637148871,-0.0083285963474559,-0.0262575234742324,-0.0313125109263913,-0.0376687096876,-0.0373338434975516,-0.036263125115174
